date,min,max,pm25,q1,q3,stdev,count
2020-03-15,2.04,5.16,3.35,2.74,3.8,0.712,283
2020-03-16,0.48,5.2,1.67,1.11,4.12,1.487,573
2020-03-17,0.85,3.06,1.5,1.23,1.98,0.493,569
2020-03-18,0.38,3.2,1.3,0.72,2.36,0.809,509
2020-03-19,0.61,2.27,1.15,1,1.42,0.311,568
2020-03-20,0.56,4.4,1.23,0.96,1.64,0.487,494
2020-03-21,0.45,1.72,0.95,0.75,1.14,0.274,495
2020-03-22,0.54,2.29,1.04,0.85,1.55,0.431,494
2020-03-23,0.6,1.84,1.14,0.9,1.38,0.283,482
2020-03-24,1.39,3.94,2,1.83,2.35,0.425,494
2020-03-25,1.7,4.92,2.95,2.66,3.75,0.717,474
2020-03-26,3.1,13.54,5.91,5.38,8.19,1.786,459
2020-03-27,4.8,10.02,7.14,6.25,8.19,1.208,409
2020-03-28,0.55,5,1.08,0.8,1.36,0.662,194
2020-03-29,0.45,1.9,0.77,0.68,0.9,0.247,378
2020-03-30,0.5,1.44,0.77,0.7,0.87,0.153,142
2020-03-31,0.46,2.92,0.92,0.8,1.08,0.392,357
2020-04-01,0.45,1.7,1,0.85,1.12,0.227,252
2020-04-02,0.27,3.1,1.42,1,1.85,0.566,499
2020-04-03,0.35,1.4,0.71,0.6,0.88,0.196,495
2020-04-04,0.54,3.79,0.85,0.71,1.04,0.446,546
2020-04-05,0.75,12.3,1.34,1.02,3.5,2.811,548
2020-04-06,2.04,13.6,5.09,3.69,7.2,2.883,487
2020-04-07,1.33,14.42,8,2.16,9.32,3.975,450
2020-04-08,1.52,3.46,2.22,2.04,2.45,0.336,491
2020-04-09,0.4,3.21,0.8,0.65,1.1,0.666,492
2020-04-10,0.35,3.42,0.56,0.48,1.02,0.68,541
2020-04-11,0.64,3.86,2.34,1,3.05,1.093,158
2020-04-12,0.24,10.26,2.06,1.13,4.5,2.528,575
2020-04-13,0.28,1.44,0.75,0.6,0.87,0.203,579
2020-04-14,0.36,1.79,0.82,0.6,0.99,0.261,562
2020-04-15,0.3,2.48,0.76,0.6,1.04,0.463,521
2020-04-16,0.28,1.8,0.65,0.5,0.83,0.259,517
2020-04-17,0.38,3.24,0.72,0.61,0.84,0.284,573
2020-04-18,0.45,17.96,0.9,0.76,1.06,1.076,581
2020-04-19,0.48,2.82,0.83,0.7,1.43,0.492,561
2020-04-20,0.61,10.34,1,0.85,1.25,0.667,512
2020-04-21,0.6,3.92,1.05,0.95,1.25,0.384,374
2020-04-22,0.65,2.66,1.04,0.92,1.24,0.291,422
2020-04-23,0.55,3.08,1.1,0.96,1.25,0.245,467
2020-04-24,0.39,3.03,0.8,0.62,0.98,0.296,536
2020-04-25,0.35,2.52,0.61,0.53,0.71,0.202,505
2020-04-26,0.3,2.78,1.05,0.73,1.42,0.456,550
2020-04-27,0.8,3.02,1.23,1.06,1.61,0.486,531
2020-04-28,0.65,2.22,1.19,0.98,1.47,0.326,397
2020-04-29,0.78,9.38,1.49,1.27,1.9,1.4,510
2020-04-30,1.2,6.45,2.7,2.08,4.03,1.297,531
2020-05-01,2.02,11,4.46,3.47,7.61,2.496,548
2020-05-02,0.5,165.38,1.35,0.8,2.09,14.685,541
2020-05-03,0.53,29.36,1.44,0.81,1.94,1.653,569
2020-05-04,0.6,3.82,1.01,0.85,1.45,0.608,525
2020-05-05,0.55,7.49,1.08,0.87,2.02,0.901,494
2020-05-06,0.56,2.4,1.04,0.85,1.23,0.324,589
2020-05-07,0.54,1.65,0.98,0.79,1.13,0.211,383
