date,min,max,pm25,q1,q3,stdev,count
2021-06-21,1.2,13.7,5.09,4,8.27,3.26,273
2021-06-22,2.67,11.7,4.7,4.03,5.92,1.626,229
2021-06-23,1.37,4.47,2.66,2.1,3.13,0.665,286
2021-06-24,1.63,10.7,3.72,2.75,4.4,2.06,259
2021-06-25,0.6,11.87,3.12,1.65,8.5,3.42,298
2021-06-26,0.95,7.2,2.2,1.5,3.2,1.204,310
2021-06-27,0.9,6.65,2.75,2.1,3.63,1.058,308
2021-06-28,1.63,6.6,3.72,2.7,4.84,1.238,285
2021-06-29,1.3,16.42,3.3,2.39,4.5,1.782,320
2021-06-30,1,9.93,4.34,3,6.19,2.223,296
2021-07-01,1,7.5,1.67,1.47,2.02,0.69,260
2021-07-02,1.2,41.28,2.47,1.8,3.47,2.611,257
2021-07-03,1.4,5.6,3.05,2.35,3.4,0.678,330
2021-07-04,1.4,6.55,2.7,2.2,3.9,1.177,320
2021-07-05,1.7,11.73,2.8,2.4,3.28,0.959,260
2021-07-06,1.4,13.05,3.2,2.4,4.43,1.505,302
2021-07-07,2.3,12.32,5.43,3.95,6.7,1.842,267
2021-07-08,0.9,669.53,4.19,1.6,29.2,152.822,286
2021-07-09,0.6,616.78,1.9,1.2,2.52,56.549,328
2021-07-10,1.1,9.13,3.92,2.83,4.95,1.528,327
2021-07-11,0.3,4.55,1.5,1.14,2.12,0.941,357
2021-07-12,1.1,5.28,1.9,1.5,2.7,0.967,267
2021-07-13,1.05,8,2.5,1.4,3.3,1.515,235
2021-07-14,2,17.8,3.65,2.78,5.32,3.595,258
2021-07-15,3.6,18.17,7.88,5.47,10.72,3.952,313
2021-07-16,0.9,15,1.72,1.3,3.59,3.373,272
2021-07-17,2.9,14.35,4.57,3.88,5.67,2.396,323
2021-07-18,0.9,13.7,2.47,1.3,6.55,3.251,280
2021-07-19,0.37,1.75,0.8,0.6,1.03,0.308,250
2021-07-20,0.7,6.78,1.58,1.2,2.63,1.117,271
2021-07-21,0.1,2.78,0.4,0.3,0.6,0.46,297
2021-07-22,0.7,3.33,1.75,1.5,2.1,0.517,243
2021-07-23,0.5,3.7,1.26,1,1.79,0.703,296
2021-07-24,0.9,3.63,2.15,1.9,2.5,0.506,295
2021-07-25,1.2,5.43,2.17,1.6,2.87,0.824,324
2021-07-26,1.3,5.75,3.17,2.48,4.3,1.152,325
2021-07-27,2.33,9.44,4.7,3.92,6.45,1.681,339
2021-07-28,3.33,14.43,7.85,5.99,8.99,2.054,353
2021-07-29,0.6,19.38,2.54,1.1,4.23,2.112,302
2021-07-30,0.2,2.8,0.8,0.6,1,0.372,242
2021-07-31,1.33,7.13,2.9,2.4,3.47,0.779,264
2021-08-01,1,4.67,1.6,1.38,3.1,0.928,262
2021-08-02,0.1,5.09,1.1,0.49,1.43,0.613,244
2021-08-03,0.2,1.6,0.5,0.4,0.6,0.2,261
2021-08-04,0.4,7.03,0.73,0.6,1.07,0.717,225
2021-08-05,0.38,4.15,0.77,0.6,1.21,0.465,260
2021-08-06,0.5,2,0.96,0.77,1.2,0.329,312
2021-08-07,0.4,4.63,1.8,1.6,2.2,0.724,322
2021-08-08,0.8,4.7,1.7,1.4,2.42,0.895,285
2021-08-09,0.8,8.23,2.06,1.4,3.3,1.291,230
2021-08-10,0.8,4.57,2.8,1.7,3.37,0.932,294
2021-08-11,1.58,3.8,2.6,2.2,2.99,0.465,237
2021-08-12,1.48,4.7,2.4,2.15,2.95,0.655,298
2021-08-13,1.7,9.4,3.67,3,4.78,1.398,540
2021-08-14,0.9,6.25,1.9,1.5,2.63,0.908,428
2021-08-15,0.15,2.8,1.09,0.73,1.7,0.607,442
2021-08-16,1,4.93,1.73,1.52,2.1,0.673,520
2021-08-17,0.6,9.1,1.75,1.38,2.83,1.12,544
2021-08-18,0.2,18.3,1.4,1.1,1.93,3.866,454
2021-08-19,0.2,3.8,0.6,0.47,0.77,0.405,548
2021-08-20,0.23,1.8,0.75,0.56,1.1,0.342,513
2021-08-21,0.17,1.5,0.5,0.4,0.8,0.261,526
2021-08-22,0.4,2.25,0.9,0.7,1,0.229,509
2021-08-23,0.5,2.92,1.17,0.9,1.64,0.523,549
2021-08-24,0.73,14.97,1.42,1.2,1.75,0.978,530
2021-08-25,0,3.73,0.5,0.2,2.29,1.169,518
2021-08-26,0.4,7.2,3.6,1.27,4.53,1.778,394
2021-08-27,1.8,7.57,3.37,2.97,4.5,1.394,359
2021-08-28,3.37,9.5,5.9,4.8,6.63,1.333,326
2021-08-29,3.73,8.19,5.3,4.82,5.97,0.898,391
2021-08-30,2.7,7.1,4.23,3.6,5,0.921,495
2021-08-31,0.9,8.86,2.06,1.6,3.9,2.163,529
2021-09-01,0.8,5.07,2.9,2.08,3.53,0.975,473
2021-09-02,0.5,8.18,1.92,1.1,4.84,2.262,526
2021-09-03,0.3,3.73,0.8,0.6,1.62,0.951,549
2021-09-04,0.3,2.67,0.63,0.51,0.8,0.28,548
2021-09-05,0.4,3,1,0.8,1.3,0.485,465
2021-09-06,1,3.87,1.8,1.4,2.02,0.393,468
2021-09-07,1.7,5.73,3.15,2.54,4.13,0.957,456
2021-09-08,1.2,8.93,2.6,1.85,5.6,1.913,567
2021-09-09,2.5,10.67,5.67,3.9,7.22,1.963,502
2021-09-10,1.9,9.93,5.4,4.09,6.2,1.527,570
2021-09-11,2.83,16.8,5.3,4.3,8.5,3.48,573
2021-09-12,0.6,24.63,4.93,2.6,8.6,5.378,551
2021-09-13,0.2,30.03,0.8,0.5,1.1,2.108,571
2021-09-14,0.6,3.53,1,0.9,1.12,0.269,576
2021-09-15,0.2,13.9,0.8,0.6,1.35,0.909,573
2021-09-16,0.6,4.03,1.2,0.9,1.93,0.644,568
2021-09-17,0.6,4.57,2.67,1.9,3.3,0.903,567
2021-09-18,0.7,12.07,1.3,1,2,0.753,573
2021-09-19,1.4,4.4,2.4,2,2.8,0.589,571
2021-09-20,1.1,5.4,2.85,2.2,3.57,0.924,570
2021-09-21,1.2,6.07,3.13,2.1,4,1.057,560
2021-09-22,0.8,5.13,2.52,2,3.57,1.071,571
2021-09-23,0.1,5.77,1.5,0.6,3.17,1.346,579
2021-09-24,0.1,3.2,0.5,0.3,0.7,0.575,573
2021-09-25,0.1,4.83,1,0.5,2.8,1.286,572
2021-09-26,0.13,1.8,0.5,0.4,0.6,0.254,571
2021-09-27,0.3,4.87,0.7,0.59,1.4,0.99,545
2021-09-28,1.1,6.37,1.93,1.53,3.2,1.225,562
2021-09-29,2.75,7.07,4.3,3.87,4.7,0.691,558
2021-09-30,0.7,12.03,5.52,3.5,6.63,2.376,552
2021-10-01,0.8,2.8,1.73,1.5,2,0.404,559
2021-10-02,1.57,15,4.7,3.2,9.6,3.982,561
2021-10-03,7.1,23.13,12.9,11.57,15.97,3.478,566
2021-10-04,11,21.13,14.2,13.03,15.72,1.943,564
2021-10-05,0.67,147.77,5.39,2,10,8.5,578
2021-10-06,0.7,63.83,3.97,1.97,8.6,6.309,571
2021-10-07,1.45,112.93,5.5,3.63,6.77,8.828,574
2021-10-08,0.7,160.72,3.9,2.2,7.92,9.884,573
2021-10-09,2.7,110.7,5.63,4.67,6.57,10.543,561
2021-10-10,3.37,154.8,5.87,4.7,10.37,8.75,569
2021-10-11,1,104,3.1,1.93,8.8,6.108,574
2021-10-12,0.1,22.5,0.5,0.4,0.7,1.638,575
2021-10-13,0.3,42.2,0.8,0.6,1.2,3.331,571
2021-10-14,0.3,166.2,1.1,0.7,2.13,11.713,571
2021-10-15,0.2,83.5,0.93,0.63,1.67,8.737,569
2021-10-16,0.2,54,0.8,0.7,0.94,4.361,573
2021-10-17,0.2,34.72,0.5,0.4,0.67,3.233,572
2021-10-18,0.23,41,0.67,0.5,1,3.548,557
2021-10-19,0.3,119.77,1.4,0.9,3.17,7.533,579
2021-10-20,0.7,116.77,1.89,1.5,2.97,8.691,554
2021-10-21,0,54.2,1.8,0.95,2.2,5.135,569
2021-10-22,0.1,107.67,0.43,0.3,0.77,6.968,574
2021-10-23,0.3,119.9,0.9,0.7,1.99,6.566,568
2021-10-24,0.27,105.3,1.47,1,2.1,6.957,570
2021-10-25,1.3,95.6,2.89,2.33,4.76,7.218,570
